date,open,high,low,close,volume,polarity
2022-02-25,269.743347,273.166656,260.799988,269.956665,76067700,Increase
2022-02-28,271.670013,292.286682,271.570007,290.143341,99006900,Increase
2022-03-01,289.893341,296.626678,284.593323,288.123322,74766900,Decrease
2022-03-02,290.709991,295.493347,281.42334,293.296661,74643300,Increase
2022-03-03,292.92334,295.480011,277.533325,279.763336,61623600,Decrease
2022-03-04,283.033325,285.216675,275.053345,279.429993,66999600,Decrease
2022-03-07,285.433319,288.713318,268.190002,268.193329,72494100,Decrease
2022-03-08,265.176666,283.329987,260.723328,274.799988,80399100,Increase
2022-03-09,279.82666,286.853333,277.33667,286.323334,59184000,Increase
2022-03-10,283.816681,284.816681,270.119995,279.433319,58648500,Decrease
2022-03-11,280.066681,281.266663,264.589996,265.116669,67037100,Decrease
2022-03-14,260.203339,266.899994,252.013336,255.456665,71152200,Decrease
2022-03-15,258.42334,268.523346,252.190002,267.296661,66841200,Increase
2022-03-16,269.666656,280.666656,267.420013,280.07666,84028800,Increase
2022-03-17,276.996674,291.666656,275.23999,290.533325,66582900,Increase
2022-03-18,291.496674,302.616669,289.130005,301.796661,100414200,Increase
2022-03-21,304.993347,314.283325,302.363342,307.053345,81981600,Increase
2022-03-22,310.0,332.619995,307.25,331.32666,105868500,Increase
2022-03-23,326.646667,346.899994,325.466675,333.036682,120676200,Increase
2022-03-24,336.57666,341.496674,329.600006,337.973328,68920800,Increase
2022-03-25,336.0,340.600006,332.440002,336.880005,62031600,Decrease
2022-03-28,355.033325,365.959991,351.200012,363.946655,102506100,Increase
2022-03-29,369.329987,371.589996,357.703339,366.523346,73614900,Increase
2022-03-30,363.723328,371.316681,361.333344,364.66333,59865000,Decrease
2022-03-31,364.856659,367.713318,358.880005,359.200012,48992700,Decrease
2022-04-01,360.383331,364.916656,355.546661,361.529999,54263100,Increase
2022-04-04,363.126678,383.303345,357.51001,381.816681,82035900,Increase
2022-04-05,378.766663,384.290009,362.433319,363.753326,80075100,Decrease
2022-04-06,357.823334,359.666656,342.566681,348.58667,89348400,Decrease
2022-04-07,350.796661,358.863342,340.513336,352.420013,79447200,Increase
2022-04-08,347.736664,349.480011,340.813324,341.829987,55013700,Decrease
2022-04-11,326.799988,336.156677,324.880005,325.309998,59357100,Decrease
2022-04-12,332.546661,340.396667,325.533325,328.983337,65976000,Increase
2022-04-13,327.026672,342.079987,324.366669,340.790009,55121100,Increase
2022-04-14,333.09668,337.570007,327.396667,328.333344,58422300,Decrease
2022-04-18,329.676666,338.306671,324.470001,334.763336,51715200,Increase
2022-04-19,335.019989,344.980011,331.776672,342.716675,49847700,Increase
2022-04-20,343.333344,344.666656,325.083344,325.733337,70711200,Decrease
2022-04-21,358.243347,364.073334,332.140015,336.26001,105416400,Increase
2022-04-22,338.303345,344.950012,331.333344,335.016663,69696600,Decrease
2022-04-25,326.323334,336.206665,325.100006,332.67334,68341200,Decrease
2022-04-26,331.809998,333.333344,291.666656,292.140015,136133700,Decrease
2022-04-27,299.526672,306.0,292.453339,293.83667,76956300,Increase
2022-04-28,299.993347,300.0,273.899994,292.503326,124948500,Decrease
2022-04-29,300.75,311.466675,290.0,290.253326,88133100,Decrease
2022-05-02,286.92334,302.119995,282.676666,300.980011,75781500,Increase
